模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT,average
mobilellama-1.4B-chat,0.214,0.114,0.129,0.24,0.057,0.029,0.051,0.057,0.071,0.10688888888888888
mobilellama-2.7B-chat,0.171,0.146,0.2,0.251,0.043,0.029,0.046,0.063,0.071,0.11333333333333334
mobillama-0.5B-chat,0.114,0.009,0.014,0.083,0.043,0.043,0.034,0.051,0.057,0.04977777777777778
mobillama-1B-chat,0.143,0.026,0.014,0.234,0.086,0.071,0.043,0.029,0.057,0.07811111111111112
fox-1-1.6B-Instruct-v0.1,0.114,0.046,0.2,0.269,0.114,0.071,0.051,0.077,0.071,0.11255555555555555
dolly-v1-6b,0.114,,0.157,0.226,0.043,0.086,0.08,0.051,0.043,0.1
dolly-v2-3b,0.171,0.123,0.114,0.234,0.043,0.029,0.037,0.04,0.043,0.09266666666666669
dolly-v2-7b,0.143,0.134,0.171,0.26,0.043,0.043,0.057,0.034,0.057,0.10466666666666667
OLMo-7B-SFT-hf,0.114,0.077,0.143,0.266,0.114,0.086,0.066,0.077,0.071,0.11266666666666666
OLMo-7B-Instruct-hf,0.129,0.166,0.271,0.326,0.086,0.071,0.094,0.1,0.143,0.154
